iter	RMSE
0	1207.507436
1	1124.288874
2	1044.900262
3	973.2763608
4	909.3482325
5	854.3472811
6	804.3193659
7	758.0371023
8	715.818718
9	679.0727656
10	645.8541177
11	616.1692344
12	590.0137936
13	566.3500248
14	546.7228205
15	527.9613115
16	511.8186856
17	498.1990944
18	485.74515
19	474.2002855
20	464.7126481
21	456.4812658
22	448.7122701
23	441.8089051
24	435.6579509
25	430.3125846
26	424.8596434
27	420.7524573
28	417.2388239
29	413.5291087
30	410.2160092
31	407.2795739
32	404.9817913
33	402.2606516
34	399.9162083
35	397.7093697
36	394.4669544
37	392.4710027
38	391.0620969
39	388.7920215
40	387.2553898
41	385.8115617
42	384.3576918
43	383.0364176
44	382.0313113
45	380.9426204
46	379.4429616
47	377.9944732
48	376.8673758
49	375.7893642
50	374.87041
51	373.8453218
52	373.2596922
53	372.4954563
54	371.1601913
55	370.246906
56	369.4540245
57	368.5830122
58	368.1246584
59	367.4011682
60	366.3134187
61	365.3534143
62	364.7542155
63	363.452572
64	362.9684323
65	362.2030871
66	361.5629503
67	361.0035286
68	360.5612003
69	359.8150651
70	358.9020542
71	358.4873619
72	357.5943948
73	357.0319294
74	356.320702
75	356.017717
76	355.3615939
77	355.046976
78	354.488639
79	354.0400622
80	353.1524695
81	352.5898058
82	352.0380993
83	352.0048561
84	351.5928859
85	351.100973
86	350.7001866
87	350.0199126
88	349.5859534
89	349.1505494
90	348.7065008
91	347.9314996
92	347.2962032
93	346.8780273
94	346.710047
95	346.048447
96	345.8084856
97	345.3642203
98	344.864068
99	344.3158326
100	344.0383758
101	343.6121556
102	343.0744292
103	342.7418112
104	342.4729239
105	342.0735318
106	341.739864
107	341.228837
108	341.0064505
109	340.6607255
110	340.1916736
111	339.6491663
112	339.3924673
113	339.1528954
114	338.9145583
115	338.262503
116	337.8930582
117	337.6109377
118	337.0925627
119	336.852479
120	336.5868981
121	336.3393337
122	336.2034627
123	335.8739028
124	335.4104012
125	335.1148839
126	334.7669655
127	334.4144636
128	333.940376
129	333.6984197
130	333.4382223
131	333.1391804
132	332.7594679
133	332.3908338
134	331.7873779
135	331.4117511
136	331.105595
137	330.8909098
138	330.644255
139	330.2824135
140	329.9844557
141	329.839897
142	329.5138441
143	328.9985835
144	328.5882462
145	328.3046516
146	327.809893
147	327.7445793
148	327.5751686
149	327.1205966
150	326.7552476
151	326.5750845
152	326.2305878
153	326.1051541
154	326.0509046
155	325.8276986
156	325.4477272
157	325.2547411
158	324.9930547
159	324.7994965
160	324.6512402
161	324.3067588
162	324.1547771
163	323.8156348
164	323.4944234
165	323.355663
166	323.1191281
167	322.7958984
168	322.5110959
169	322.4567981
170	322.2507159
171	322.0620555
172	321.9033069
173	321.7537242
174	321.3879457
175	321.1838295
176	321.0177507
177	320.7348489
178	320.6235701
179	320.4639388
180	320.2486284
181	320.0625676
182	319.8949912
183	319.6610465
184	319.6075147
185	319.5291165
186	319.4131254
187	319.0636336
188	318.8652854
