iter	Passed	Remaining
0	16	15283
1	137	65063
2	143	45249
3	147	34925
4	150	28469
5	158	24938
6	177	23925
7	181	21405
8	185	19365
9	187	17616
10	189	16208
11	192	15084
12	195	14067
13	197	13210
14	199	12449
15	201	11782
16	204	11197
17	206	10689
18	208	10227
19	210	9807
20	212	9419
21	215	9071
22	217	8777
23	219	8486
24	222	8216
25	224	7973
26	226	7744
27	228	7538
28	232	7383
29	234	7206
30	237	7034
31	239	6877
32	242	6725
33	244	6583
34	246	6451
35	249	6323
36	251	6212
37	254	6100
38	256	5998
39	259	5897
40	262	5808
41	264	5715
42	266	5631
43	269	5550
44	272	5473
45	275	5407
46	277	5335
47	280	5266
48	282	5197
49	285	5132
50	287	5069
51	289	5006
52	292	4952
53	296	4915
54	299	4865
55	302	4822
56	304	4772
57	307	4721
58	309	4672
59	312	4631
60	315	4591
61	317	4550
62	320	4513
63	323	4481
64	326	4445
65	329	4407
66	331	4369
67	334	4335
68	337	4304
69	339	4270
70	342	4236
71	345	4209
72	348	4185
73	350	4154
74	353	4123
75	355	4089
76	357	4057
77	360	4025
78	362	3996
79	364	3964
80	366	3936
81	369	3907
82	371	3877
83	372	3841
84	375	3817
85	377	3789
86	379	3764
87	381	3741
88	384	3717
89	386	3691
90	388	3668
91	390	3646
92	392	3621
93	395	3598
94	397	3575
95	399	3555
96	401	3534
97	404	3515
98	406	3495
99	408	3475
100	411	3458
101	413	3438
102	415	3419
103	418	3400
104	420	3383
105	422	3366
106	425	3349
107	427	3333
108	429	3315
109	431	3296
110	433	3279
111	436	3263
112	438	3247
113	440	3230
114	442	3214
115	445	3199
116	447	3185
117	449	3171
118	451	3156
119	454	3141
120	456	3127
121	458	3112
122	460	3098
123	463	3086
124	465	3074
125	468	3060
126	470	3048
127	472	3035
128	474	3022
129	477	3009
130	479	2998
131	481	2984
132	484	2973
133	486	2959
134	488	2947
135	490	2936
136	492	2924
137	495	2912
138	497	2901
139	499	2890
140	502	2880
141	504	2869
142	506	2857
143	508	2846
144	510	2835
145	513	2825
146	515	2815
147	517	2805
148	520	2796
149	522	2786
150	525	2778
151	527	2768
152	529	2759
153	532	2751
154	534	2742
155	536	2732
156	538	2721
157	541	2713
158	543	2703
159	545	2694
160	547	2685
161	550	2677
162	552	2668
163	555	2660
164	557	2652
165	559	2643
166	561	2634
167	564	2625
168	566	2616
169	568	2608
170	570	2599
171	572	2590
172	574	2581
173	576	2573
174	579	2568
175	582	2561
176	584	2554
177	587	2547
178	589	2539
179	591	2530
180	593	2522
181	595	2514
182	598	2506
183	600	2499
184	602	2491
185	604	2484
186	606	2476
187	609	2469
188	611	2461
189	613	2454
190	615	2446
191	617	2439
192	620	2431
193	622	2425
194	624	2418
195	626	2411
196	628	2403
197	631	2398
198	633	2392
199	636	2386
200	638	2378
201	640	2371
202	642	2364
203	644	2358
204	647	2352
205	649	2345
206	651	2339
207	653	2332
208	655	2325
209	658	2319
210	660	2312
211	662	2305
212	664	2299
213	667	2294
214	669	2288
215	671	2282
216	673	2275
217	675	2269
218	678	2263
219	680	2258
220	682	2252
221	684	2246
222	687	2240
223	689	2234
224	691	2229
225	694	2224
226	696	2218
227	698	2212
228	700	2206
229	702	2200
230	705	2194
231	707	2189
232	709	2183
233	711	2178
234	714	2172
235	716	2166
236	718	2161
237	720	2156
238	722	2150
239	725	2145
240	727	2140
241	729	2134
242	731	2129
243	734	2124
244	736	2118
245	738	2113
246	740	2108
247	743	2103
248	745	2098
249	747	2093
250	749	2088
251	752	2083
252	754	2077
253	756	2072
254	758	2067
255	760	2062
256	763	2057
257	765	2052
258	767	2047
259	769	2043
260	772	2038
261	774	2033
262	776	2029
263	779	2025
264	781	2020
265	783	2015
266	785	2009
267	788	2005
268	790	2000
269	792	1995
270	794	1991
271	797	1986
272	799	1982
273	801	1978
274	804	1973
275	806	1968
276	808	1964
277	810	1959
278	812	1954
279	815	1950
280	817	1946
281	819	1941
282	821	1936
283	823	1931
284	825	1927
285	827	1922
286	830	1917
287	832	1913
288	834	1908
289	836	1904
290	839	1900
291	841	1895
292	843	1891
293	845	1887
294	847	1882
295	850	1878
296	852	1873
