Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39251257,현대,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),,201701.0,2017,1240.0,156823.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:03:23.000 +09,경기,신원자동차,51소3690,3,2,6,257.4414,216.3121,1,0,
38781115,현대,그랜저 IG,2.4 익스클루시브,스페셜,201811.0,2019,1899.0,85547.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,경기,삼성자동차,130수3204,2,1,2,267.5221,130.0,1,0,
38605981,현대,그랜저 HG,LPG HG300 모던,,201408.0,2015,499.0,235810.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,대구,그차는내차,138어7333,1,1,3,88.3353,59.7768,2,0,
38623624,현대,그랜저 (GN7),3.5 LPG 2WD,프리미엄,202301.0,2023,3250.0,55040.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,대전,주식회사우리카,159누6719,2,0,1,113.2218,0.0,1,0,
37364177,현대,그랜저 HG,HG240 모던,,201407.0,2014,790.0,132056.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,경기,조은 중고차,48더9806,3,3,3,561.3948,208.3953,0,0,
39164668,현대,그랜저 IG,3.0 익스클루시브,스페셜,201901.0,2019,2020.0,81153.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,부산,정우상사,215서5215,0,0,3,0.0,0.0,2,0,
39214231,현대,그랜저 (GN7),3.5 가솔린 2WD,프리미엄,202311.0,2023,3480.0,12729.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,경기,㈜오토핸즈,312오9435,0,0,1,0.0,0.0,1,0,
39133458,현대,더 뉴 그랜저 IG,3.3,캘리그래피,202004.0,2020,2360.0,107109.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,경기,㈜오토핸즈,237노7528,1,2,0,111.787,59.684,0,0,
38941975,현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,202004.0,2020,2199.0,133162.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,인천,(주)지후모터스,226저2833,2,2,2,137.1214,297.9321,1,0,
38884695,현대,그랜저 (GN7),3.5 가솔린 2WD,프리미엄,202301.0,2023,3550.0,15347.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:03:11.000 +09,경기,(주)오토룩2,227러2711,0,0,1,0.0,0.0,0,0,
