Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39224525,현대,그랜드 스타렉스,12인승 왜건,모던,201710.0,2018,1290.0,126963.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:27.000 +09,울산,오토샵,78너0463,0,1,3,0.0,42.9277,0,0,
39120403,현대,그랜드 스타렉스,5인승 밴,스마트,201707.0,2018,1490.0,42692.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:26.000 +09,울산,오토샵,95마3139,3,1,2,309.822,37.0,0,0,
38780116,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201712.0,2018,1399.0,104343.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:25.000 +09,대구,(주)비엔비모터스,84우2625,1,0,0,98.6097,0.0,0,0,
38909016,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,201911.0,2020,1570.0,32427.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,대구,디엠(DM)모터스,87모6172,1,1,1,388.798,69.5027,0,0,
39169869,현대,더 뉴 그랜드 스타렉스,4WD 웨건 12인승,모던,201811.0,2019,2290.0,68862.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,서울,(주)넥스트오토,77오4098,0,0,1,0.0,0.0,0,0,
38294561,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201907.0,2019,1219.0,199372.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,광주,해태자동차,97로1639,5,1,3,222.1118,114.625,0,0,
38999970,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,201910.0,2020,1440.0,117109.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,충남,티키타카,82부4154,0,0,1,0.0,0.0,0,0,
39122249,현대,더 뉴 그랜드 스타렉스,밴 5인승,모던,202006.0,2020,1690.0,97031.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,부산,신아오토모빌,89도0983,2,0,0,166.5511,0.0,0,0,
39107780,현대,그랜드 스타렉스,3인승 밴,스마트,201701.0,2017,850.0,219173.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,경기,한국자동차,81모0755,2,0,2,177.6473,0.0,0,0,
36226554,현대,더 뉴 그랜드 스타렉스,4WD 캠핑카,,201804.0,2018,5750.0,14300.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:04.000 +09,대구,경운자동차상사,76보2847,1,0,3,448.314,0.0,0,0,
39103258,현대,그랜드 스타렉스,3인승 밴,스마트,201702.0,2017,960.0,187241.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:02.000 +09,서울,(주)모든자동차,87모2824,3,1,1,463.0144,196.7,0,0,
39222250,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,201910.0,2020,1580.0,35582.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:02.000 +09,경기,원컴퍼니,82부4141,0,0,1,0.0,0.0,0,0,
36311157,현대,더 뉴 그랜드 스타렉스,웨건 12인승,스마트,201809.0,2019,1670.0,31731.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:02.000 +09,경기,(주)쓰리노,708우2666,2,1,1,548.7923,41.5677,1,0,
39194908,현대,더 뉴 그랜드 스타렉스,밴 5인승,모던,202007.0,2021,2050.0,23643.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:00.000 +09,대전,한강자동차,84보6682,0,0,2,0.0,0.0,0,0,
38134467,현대,그랜드 스타렉스,3인승 밴,CVX 럭셔리,201411.0,2015,1000.0,101045.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:51.000 +09,경기,더나은모터스,84소2145,0,2,3,0.0,103.129,0,0,
38597871,현대,그랜드 스타렉스,5인승 밴,CVX 프리미엄,201402.0,2014,1299.0,106723.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,84오3880,1,1,2,105.0632,39.1379,0,0,
39129614,현대,그랜드 스타렉스,5인승 밴,모던,201606.0,2017,9999.0,163620.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,90고8451,3,1,3,214.9956,38.938,0,0,
38675841,현대,그랜드 스타렉스,냉동차,,201403.0,2014,740.0,243757.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,82로7819,2,0,1,144.848,0.0,0,0,
38597130,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201811.0,2019,1650.0,93935.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,80보0960,2,0,3,67.0498,0.0,0,0,
38633429,현대,더 뉴 그랜드 스타렉스,휠체어 리프트/슬로프,,202011.0,2021,3570.0,25497.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,78수8936,0,0,1,0.0,0.0,0,0,
38597778,현대,그랜드 스타렉스,냉동차,,201404.0,2014,1150.0,148102.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,94노1866,1,2,2,50.8819,49.749,0,0,
38761760,현대,그랜드 스타렉스,5인승 밴,CVX 프리미엄,201409.0,2015,1070.0,122723.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:48.000 +09,전북,스마트 모터스,81어7524,0,0,3,0.0,0.0,0,0,
38474178,현대,그랜드 스타렉스,3인승 밴,CVX 럭셔리,201411.0,2015,1099.0,120937.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:47.000 +09,전북,스마트 모터스,81수9165,0,0,3,0.0,0.0,0,0,
39187871,현대,더 뉴 그랜드 스타렉스,웨건 12인승,스마트,201903.0,2019,1620.0,104027.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:37.000 +09,경기,무지개자동차,71부9880,2,3,0,223.744,513.0852,0,0,
39253512,현대,그랜드 스타렉스,어린이보호차,,201711.0,2018,1750.0,45125.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:11.000 +09,경기,에스아이모터스,79두0411,1,0,1,74.5088,0.0,0,0,
39108158,현대,그랜드 스타렉스,5인승 밴,CVX 럭셔리,201204.0,2012,690.0,133810.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:11.000 +09,충남,(주)한길자동차,84두6823,3,2,1,204.0731,88.7948,0,0,
39083184,현대,그랜드 스타렉스,4WD 11인승 왜건,CVX 프리미엄,201503.0,2015,1430.0,78921.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:11.000 +09,경기,신화모터스,72주2929,0,0,2,0.0,0.0,0,0,
39198855,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,202012.0,2021,1870.0,62201.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:07.000 +09,충북,(주)정일모터스,82저1374,4,0,1,131.2808,0.0,0,0,
37875047,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,202008.0,2021,1490.0,84489.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,대전,(주)하입카즈,81누0981,2,0,1,232.4358,0.0,0,0,
38478025,현대,더 뉴 그랜드 스타렉스,12인승 LPi,스마트,202005.0,2020,1890.0,93531.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,광주,금상모터스,78구3962,1,0,1,193.6711,0.0,0,0,
39209859,현대,그랜드 스타렉스,5인승 밴,CVX 프리미엄,201304.0,2014,550.0,116583.0,디젤,수동,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,경기,우송모터스,97로4476,3,4,1,394.756,510.513,0,0,
39062490,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,202010.0,2021,1930.0,16639.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,광주,오토플러스(주),86어0901,0,1,1,0.0,64.0593,0,0,
39237865,현대,그랜드 스타렉스,12인승 왜건,모던,201606.0,2017,1420.0,86178.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,경기,카메이트,70가8411,0,1,1,0.0,52.011,0,0,
39268434,현대,더 뉴 그랜드 스타렉스,어린이보호차,,201912.0,2020,2400.0,59994.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:02.000 +09,서울,더골드모터스,74수3807,2,2,1,423.8763,157.5968,0,0,
38947144,현대,그랜드 스타렉스,12인승 왜건,CVX 럭셔리,201002.0,2010,590.0,212131.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:57.000 +09,울산,광명자동차매매상사,76로1661,4,5,7,334.938,350.2641,0,0,
39159869,현대,그랜드 스타렉스,5인승 LPi 밴,CVX 럭셔리,201403.0,2014,1080.0,113725.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:26:38.000 +09,광주,ks상사,93주9190,6,3,1,497.429,228.7114,0,0,
37984065,현대,더 뉴 그랜드 스타렉스,어반 9인승,익스클루시브,201905.0,2019,2490.0,35990.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:38.000 +09,부산,(주)스마트모터스,152무8752,1,0,3,67.8474,0.0,1,0,
39119168,현대,그랜드 스타렉스,12인승 왜건,CVX 럭셔리,201501.0,2015,1250.0,166968.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:37.000 +09,경북,국제자동차매매상사,78다6513,2,4,3,159.634,640.1587,0,0,
38961317,현대,더 뉴 그랜드 스타렉스,냉동차,,201807.0,2019,1640.0,135900.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:33.000 +09,전북,신세계모터스,82루0617,0,1,4,0.0,295.807,0,0,
38436259,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,201804.0,2018,1509.0,111358.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:22.000 +09,전북,베스트상사,81거2557,2,1,4,148.782,101.2269,0,0,
38743477,현대,더 뉴 그랜드 스타렉스,캠핑카,,202007.0,2021,3450.0,64247.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,경기,제이모터스,98소9646,1,0,1,44.304,0.0,1,0,
38817008,현대,그랜드 스타렉스,3인승 밴,스마트,201512.0,2016,1050.0,126313.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,인천,한진모터스,83더5868,3,1,1,417.8693,90.0,0,0,
39070897,현대,그랜드 스타렉스,12인승 LPi 왜건,CVX 프리미엄,201704.0,2017,1450.0,82344.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,충남,,74서2055,0,1,3,0.0,30.8,0,0,
38446501,현대,그랜드 스타렉스,5인승 밴,모던,201512.0,2016,890.0,177010.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,경기,카체인지,95모9254,1,1,3,74.002,151.81,0,0,
38386791,현대,그랜드 스타렉스,5인승 밴,CVX 럭셔리,201502.0,2015,710.0,123173.0,디젤,수동,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,경기,중고차A팀,87보4923,3,0,3,360.5558,0.0,0,0,
39175346,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,201903.0,2019,1800.0,60910.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:14.000 +09,경기,의정부오토갤러리,81조0835,2,1,1,208.307,40.011,0,0,
39172662,현대,그랜드 스타렉스,어린이보호차,,201708.0,2018,1300.0,143950.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,서울,더골드모터스,73조9422,1,1,1,57.912,102.988,0,0,
38235328,현대,그랜드 스타렉스,3인승 밴,CVX 럭셔리,201504.0,2016,690.0,245000.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,울산,진CAR  모터스,93서6957,1,1,1,37.1,131.758,0,0,
38851262,현대,더 뉴 그랜드 스타렉스,어반 9인승,익스클루시브,201808.0,2019,1970.0,80943.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,충남,해피카,05머2736,3,1,1,556.6199,266.593,0,0,
39107326,현대,더 뉴 그랜드 스타렉스,어반 9인승,프리미엄,202001.0,2020,2030.0,79125.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,경기,페어플레이유니버스,279소6517,0,1,2,0.0,124.5318,1,0,
39102776,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,202003.0,2020,2650.0,83846.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,인천,코리아모터스,72머9179,4,1,0,439.978,365.088,0,0,
38646058,현대,더 뉴 그랜드 스타렉스,밴 5인승,스마트,202007.0,2021,1530.0,84151.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:26:03.000 +09,경기,페어플레이유니버스,97누2098,1,3,2,79.0007,272.512,0,0,
37729359,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,202010.0,2021,1830.0,74763.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:26.000 +09,광주,진흥자동차,91모5010,0,1,2,0.0,129.812,0,0,
38797785,현대,그랜드 스타렉스,3인승 밴,스마트,201601.0,2016,1330.0,93031.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:13.000 +09,대구,오토플러스(주),81라9101,0,0,0,0.0,0.0,0,0,
38697537,현대,더 뉴 그랜드 스타렉스,어반 9인승,익스클루시브,201809.0,2019,1930.0,109258.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:11.000 +09,부산,다온모터스상사,06라6799,1,1,1,79.1223,165.0,0,0,
39099760,현대,그랜드 스타렉스,11인승 왜건,스마트,201612.0,2017,1400.0,46766.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:11.000 +09,인천,조은자동차매매상사,72모8240,2,2,1,250.5048,130.1756,0,0,
38956385,현대,더 뉴 그랜드 스타렉스,어반 9인승,프리미엄 스페셜,201801.0,2018,1890.0,69571.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:11.000 +09,서울,한솔모터스,01구6378,3,0,1,354.0049,0.0,0,0,
38948279,현대,더 뉴 그랜드 스타렉스,4WD 어반 9인승,프리미엄,201812.0,2019,1890.0,139741.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:11.000 +09,경기,애니카모터스,56마6880,1,1,1,63.844,98.132,0,0,
38491297,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201903.0,2019,1290.0,122565.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:11.000 +09,경기,(주)오토빌리지,92러0301,3,2,2,378.72,321.929,0,0,
39026798,현대,더 뉴 그랜드 스타렉스,4WD 웨건 12인승,모던,201803.0,2018,2550.0,16931.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:03.000 +09,경기,넘버원모터스,70우8834,0,0,0,0.0,0.0,0,0,
38767235,현대,그랜드 스타렉스,5인승 LPi 밴,CVX 럭셔리,201102.0,2011,630.0,212995.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:25:00.000 +09,경기,(주)굿카,846부8046,2,2,5,608.1305,700.868,1,0,
39228568,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,201807.0,2019,2250.0,107209.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:25:00.000 +09,경기,(주)굿카,77조6440,1,1,1,254.942,310.479,0,0,
38332574,현대,더 뉴 그랜드 스타렉스,웨건 12인승,스마트,202005.0,2020,1850.0,73677.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:25:00.000 +09,경기,(주)굿카,73버3187,0,0,1,0.0,0.0,0,0,
38953884,현대,더 뉴 그랜드 스타렉스,4WD 웨건 11인승,모던,201812.0,2019,1900.0,152397.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:58.000 +09,경기,(주)굿카,71서3384,2,1,4,99.4385,82.054,0,0,
38984910,현대,그랜드 스타렉스,5인승 밴,스마트,201609.0,2017,770.0,200174.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:58.000 +09,경기,(주)굿카,81라8035,3,2,1,541.4392,340.101,0,0,
39144360,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,201911.0,2020,2520.0,28090.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:24:57.000 +09,경기,(주)굿카,71두0120,3,1,3,448.467,56.5718,0,0,
38855485,현대,그랜드 스타렉스,3인승 밴,스마트,201611.0,2017,870.0,137817.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:57.000 +09,경기,(주)굿카,81더7527,1,1,9,98.0694,136.6332,0,0,
38802771,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201911.0,2020,1380.0,67049.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:57.000 +09,경기,(주)굿카,94서0463,1,2,2,487.6287,1185.2499,0,0,
38707800,현대,더 뉴 그랜드 스타렉스,밴 5인승 LPi,스마트,201901.0,2019,1930.0,32555.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:24:56.000 +09,경기,(주)굿카,84보2261,1,2,1,144.949,200.84,0,0,
39214977,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,202007.0,2021,3090.0,49776.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:24:47.000 +09,경기,(주)모던카,71고2018,1,0,0,199.281,0.0,0,0,
39229749,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,202002.0,2020,2890.0,62154.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:24:47.000 +09,경기,(주)모던카,74거8903,1,2,0,69.1369,309.3483,0,0,
38297908,현대,그랜드 스타렉스,5인승 밴,모던,201804.0,2018,1160.0,162968.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:47.000 +09,제주,중고차프로,96다1881,2,4,1,68.5789,577.5153,0,0,
39236638,현대,그랜드 스타렉스,5인승 밴,CVX 럭셔리,201504.0,2016,1290.0,71516.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:24.000 +09,광주,기쁨모터스,82저3854,1,2,1,102.9758,80.3702,0,0,
38939123,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,201909.0,2020,2850.0,38169.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 10:24:13.000 +09,경기,(주)뉴카카,74버9204,0,0,1,0.0,0.0,0,0,
39257613,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,202009.0,2021,1430.0,110259.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:03.000 +09,인천,차본주의,88로3840,1,0,2,0.0,0.0,0,0,
36050546,현대,그랜드 스타렉스,캠핑카,,200905.0,2009,690.0,189885.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:24:03.000 +09,경기,경기현대상사,70루7948,8,2,3,929.0654,137.817,2,0,
