Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39132275,현대,스타리아,카고 3인승,모던,202106.0,2022,2280.0,44753.0,디젤,오토,ORIGINAL,리스,2025-03-20 09:42:12.000 +09,서울,(주)오토플래닛,85부2852,2,0,0,93.996,0.0,0,0,
39181561,현대,스타리아,투어러 9인승,모던,202208.0,2022,2930.0,59363.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,광주,으뜸모터스,174더6505,0,0,1,0.0,0.0,1,0,
39181087,현대,스타리아,HEV 1.6 카고 3인승,모던,202403.0,2025,3329.0,17828.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,경기,준모터스,842우2116,1,0,1,39.0309,0.0,0,0,
39171624,현대,스타리아,카고 3인승,모던,202404.0,2025,2730.0,4133.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,광주,으뜸모터스,802도9389,0,0,1,0.0,0.0,0,0,
38859448,현대,스타리아,카고 5인승,모던,202301.0,2023,2630.0,59242.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,충남,이안모터스,817무2061,0,0,3,0.0,0.0,0,0,
37783875,현대,스타리아,L3.5 카고 5인승,모던,202209.0,2023,2790.0,6707.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,서울,주)오토리안,804수3894,0,0,1,0.0,0.0,0,0,
38965929,현대,스타리아,L3.5 카고 5인승,모던,202311.0,2024,2980.0,23945.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,경기,카포인트,803더6348,0,0,1,0.0,0.0,0,0,
38846569,현대,스타리아,카고 3인승,스마트,202306.0,2023,1795.0,15000.0,디젤,오토,ORIGINAL,리스,2025-03-20 09:42:03.000 +09,인천,,845모9975,0,0,0,0.0,0.0,0,0,
38807761,현대,스타리아,L3.5 라운지 9인승,인스퍼레이션,202307.0,2023,3600.0,11136.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:42:03.000 +09,경기,(주)빅보스모터스,329버8514,0,0,1,0.0,0.0,0,0,
38848868,현대,스타리아,4WD 투어러 9인승,모던,202210.0,2023,3050.0,32934.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:41.000 +09,대구,오토플러스(주),140너9323,0,0,1,0.0,0.0,1,0,
39136374,현대,스타리아,카고 5인승,모던,202110.0,2022,2590.0,77227.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:10.000 +09,인천,주식회사 시우자동차3,88더8813,0,0,1,0.0,0.0,0,0,
38524316,현대,스타리아,투어러 11인승,모던,202105.0,2022,2680.0,59713.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:10.000 +09,충북,(주)더챔,737소4092,0,0,1,0.0,0.0,1,0,
39112120,현대,스타리아,앰뷸런스,,202412.0,2025,6100.0,193.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:10.000 +09,경기,(주)세기자동차,713무3676,0,0,0,0.0,0.0,0,0,
38936556,현대,스타리아,L3.5 어린이보호차,11인승,202205.0,2022,3390.0,31887.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:41:10.000 +09,충남,ONE모터스,727다5116,0,1,1,0.0,0.0,0,0,
39072373,현대,스타리아,카고 3인승,모던,202109.0,2022,2299.0,54980.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:03.000 +09,대전,디오토카,92노3249,0,1,1,0.0,29.0,0,0,
39171381,현대,스타리아,L3.5 어린이보호차,15인승,202211.0,2023,3490.0,21019.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:41:03.000 +09,서울,(주)나우모터스,709가9115,0,0,0,0.0,0.0,0,0,
39000484,현대,스타리아,L3.5 투어러 11인승,모던,202111.0,2022,2490.0,73032.0,LPG(일반인 구입),오토,ORIGINAL,리스,2025-03-20 09:41:02.000 +09,서울,(주)오토플래닛,716호2202,1,0,0,99.6144,0.0,0,0,
39162439,현대,스타리아,카고 5인승,모던,202203.0,2022,2770.0,36779.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,경기,벧엘자동차2,841어2939,1,0,1,103.1082,0.0,0,0,
38877372,현대,스타리아,카고 3인승,모던,202307.0,2023,2729.0,22773.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,충남,신용모터스,805두7259,1,0,1,104.009,0.0,0,0,
38828376,현대,스타리아,투어러 11인승,모던,202112.0,2022,2950.0,7225.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,경기,타타모터스,729루6450,0,0,1,0.0,0.0,0,0,
38945723,현대,스타리아,투어러 11인승,모던,202204.0,2022,2490.0,95148.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,서울,오톰자동차,70노0961,0,1,1,0.0,68.4117,1,0,
39232313,현대,스타리아,L3.5 투어러 11인승,모던,202404.0,2025,3320.0,18989.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,인천,(주)시우자동차,724누6521,0,0,1,0.0,0.0,1,0,
36724759,현대,스타리아,카고 5인승,모던,202107.0,2022,2420.0,66547.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:41:02.000 +09,경기,오토스마일,97루5630,0,0,1,0.0,0.0,0,0,
38698244,현대,스타리아,투어러 11인승,모던,202208.0,2022,2649.0,44969.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:40:49.000 +09,경기,(주)왕카,713조3589,0,0,1,0.0,0.0,1,0,
38844669,현대,스타리아,투어러 11인승,모던,202205.0,2022,2629.0,56726.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:40:49.000 +09,경기,(주)왕카,713조3540,0,0,1,0.0,0.0,1,0,
39031250,현대,스타리아,L3.5 카고 5인승,모던,202202.0,2022,2599.0,20569.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:49.000 +09,경기,(주)왕카,801보4526,1,0,2,81.1844,0.0,0,0,
38534542,현대,스타리아,L3.5 투어러 9인승,모던,202306.0,2023,8888.0,11373.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:49.000 +09,경기,(주)왕카,236소3298,1,0,2,92.304,0.0,0,0,
38453997,현대,스타리아,L3.5 카고 5인승,모던,202308.0,2023,8888.0,23917.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:48.000 +09,경기,(주)왕카,840로3284,0,0,3,0.0,0.0,0,0,
37672338,현대,스타리아,투어러 11인승,모던,202107.0,2022,2699.0,71768.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:40:37.000 +09,광주,파랑새모터스,70러6660,3,0,2,305.1388,0.0,0,0,
39183766,현대,스타리아,L3.5 어린이보호차,15인승,202110.0,2022,3340.0,55332.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:13.000 +09,인천,(주)시우자동차,74구0300,0,0,1,0.0,0.0,0,0,
39052555,현대,스타리아,L3.5 카고 3인승,모던,202403.0,2025,2919.0,1336.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:13.000 +09,서울,(주)아이오토스,808소2423,0,0,0,0.0,0.0,0,0,
38843749,현대,스타리아,L3.5 카고 3인승,모던,202209.0,2023,2950.0,15625.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 09:40:13.000 +09,경기,주식회사 지오모터스,819주7324,0,1,1,0.0,66.5049,0,0,
