,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
7076,38522315,현대,팰리세이드,디젤 2.2 4WD,프레스티지,201901.0,2019,3200.0,70977.0,디젤,오토,ORIGINAL,일반,2025-03-19 15:31:57.000 +09,울산,태화강상사,324가7341,1,0,2,85.7904,0.0,1,0,,팰리세이드
23691,38744272,현대,그랜저 IG,2.4 프리미엄,(세부등급 없음),201908.0,2019,1950.0,64324.0,가솔린,오토,ORIGINAL,일반,2025-03-19 22:44:43.000 +09,울산,극동모터스,364소9790,0,1,4,0.0,121.228,1,0,,그랜저
29530,39213335,현대,아반떼 AD,1.6 GDI 밸류 플러스,,201805.0,2018,970.0,111629.0,가솔린,오토,ORIGINAL,일반,2025-03-20 11:41:57.000 +09,경기,신원자동차매매상사,68조3098,1,0,1,19.0359,0.0,0,0,,아반떼
17383,39014651,제네시스,G90,3.8 AWD,럭셔리,202002.0,2020,2650.0,194288.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:01:01.000 +09,경기,오토프라임,247부1859,3,2,1,657.0133,303.8621,1,0,,제네시스
13363,39172609,현대,더 뉴 그랜드 스타렉스,밴 3인승,스타일,201907.0,2019,1599.0,64340.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:30:08.000 +09,경기,늘푸른자동차,83마3444,0,1,2,0.0,314.503,0,0,,스타렉스
29242,39215759,현대,더 뉴 아반떼 AD,1.6,스마트,201903.0,2019,1190.0,74791.0,가솔린,오토,ORIGINAL,일반,2025-03-20 12:24:04.000 +09,경기,(주)오케이모터스,293모9588,0,1,2,0.0,48.5714,1,0,,아반떼
2715,38994230,현대,쏘나타 하이브리드 (DN8),스마트,,201910.0,2020,1570.0,132038.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 16:21:29.000 +09,충남,큐모터스,300누4144,1,0,4,65.99,0.0,1,0,,쏘나타
24560,39089068,현대,그랜저 IG,2.2 디젤 프리미엄,(세부등급 없음),201705.0,2018,1649.0,123979.0,디젤,오토,ORIGINAL,일반,2025-03-19 19:48:18.000 +09,전남,스타모터스,42가3248,3,0,3,203.2204,0.0,0,0,,그랜저
9463,39178103,현대,더 뉴 싼타페,디젤 2.2 2WD,프레스티지,202304.0,2023,3039.0,45273.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:28:00.000 +09,대구,오토핸즈 대구직영점,180허9639,0,0,0,0.0,0.0,0,0,,싼타페
7022,38524149,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,202001.0,2020,2699.0,90813.0,가솔린,오토,ORIGINAL,일반,2025-03-19 16:35:58.000 +09,경기,명문자동차,127버1439,1,0,1,140.4,0.0,0,0,,팰리세이드
19316,39145535,제네시스,GV80,2.5T 가솔린 AWD,(세부등급 없음),202502.0,2025,5322.0,300.0,가솔린,오토,ORIGINAL,렌트,2025-03-19 19:54:03.000 +09,경기,,176하8830,0,0,0,0.0,0.0,0,0,,제네시스
17111,39035059,제네시스,G90,5.0 AWD,프레스티지,202004.0,2020,3950.0,122679.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:05:03.000 +09,대구,명가모터스,371우5388,5,3,1,738.512,502.8782,0,0,,제네시스
9910,38936361,현대,싼타페 더 프라임,디젤 2.0 2WD,밸류 플러스,201709.0,2018,1583.0,115509.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:40:11.000 +09,대구,굿 모터스,48노7573,1,1,1,119.5484,27.0733,0,0,,싼타페
3564,38370270,현대,올 뉴 투싼,디젤 2.0 2WD,모던,201802.0,2018,1590.0,89238.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:58:03.000 +09,인천,한진모터스,52나2434,2,1,1,56.9858,78.5469,0,0,,투싼
13277,39250296,현대,더 뉴 그랜드 스타렉스,4WD 웨건 12인승,스마트,202101.0,2021,2480.0,48891.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:36:03.000 +09,인천,카담파트너스,724누6537,0,0,2,0.0,0.0,1,0,,스타렉스
14573,38228540,제네시스,EQ900,3.8 GDI AWD,럭셔리,201611.0,2016,2510.0,42180.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:47:04.000 +09,서울,(주)피스모터스,207너9366,2,3,3,59.323,387.3668,1,0,,제네시스
7784,39062974,현대,스타리아,4WD 라운지 9인승,인스퍼레이션,202302.0,2023,3800.0,50088.0,디젤,오토,ORIGINAL,일반,2025-03-20 08:48:43.000 +09,경기,,265거8856,1,0,0,115.3064,0.0,0,0,,스타리아
23754,39108513,현대,더 뉴 그랜저 IG,2.5,프리미엄,202008.0,2020,2030.0,69281.0,가솔린,오토,ORIGINAL,일반,2025-03-19 22:34:46.000 +09,경기,(주)오토허브셀카,204소4173,0,3,1,0.0,457.0891,1,0,,그랜저
27348,39154932,현대,아반떼 (CN7),1.6,인스퍼레이션,202302.0,2023,2200.0,28673.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:04:11.000 +09,경기,도담자동차,109로3599,0,1,0,0.0,72.1638,0,0,,아반떼
13405,39069336,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,202012.0,2021,1780.0,88000.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:24:59.000 +09,전북,서경트럭,96너0988,0,1,3,0.0,35.6244,0,0,,스타렉스
24413,39245720,현대,더 뉴 그랜저 IG 하이브리드,르블랑,,202205.0,2023,3400.0,48616.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 20:23:02.000 +09,전북,중앙모터스,328누1798,0,0,2,0.0,0.0,0,0,,그랜저
15324,38280529,제네시스,G90,3.8 AWD,럭셔리,202003.0,2020,3999.0,106211.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:34:58.000 +09,대구,엠월드(주)일등모터스,194다8203,4,1,2,496.2019,80.138,1,0,,제네시스
8017,38600252,현대,스타리아,L3.5 라운지 7인승,인스퍼레이션,202112.0,2022,3870.0,19542.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 23:50:06.000 +09,경기,Feel Car,115구3889,0,0,1,0.0,0.0,0,0,,스타리아
27703,39083310,현대,아반떼 AD,1.6 GDI 스마트,스페셜,201601.0,2016,1000.0,102560.0,가솔린,오토,ORIGINAL,일반,2025-03-20 13:55:12.000 +09,서울,프라임모터스,11버0899,3,2,1,145.9622,61.1192,0,0,,아반떼
15500,39193886,제네시스,더 뉴 G70,가솔린 2.0T 2WD,(세부등급 없음),202304.0,2023,4180.0,12635.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:32:11.000 +09,경기,(주)준모터스,196부4345,0,1,0,0.0,27.4239,0,0,,제네시스
14331,39190183,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,,201808.0,2019,2480.0,97972.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-18 14:33:14.000 +09,광주,(주)다산모터스,74모7036,0,0,1,0.0,0.0,0,0,,스타렉스
16181,38147384,제네시스,G80,3.3 GDI,프레스티지,201803.0,2018,2650.0,41152.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:20:13.000 +09,경기,제이디모터스,07루7079,1,0,3,808.2003,0.0,0,0,,제네시스
25038,38969695,현대,더 뉴 그랜저 IG,2.5,르블랑,202210.0,2023,1054.0,45710.0,가솔린,오토,ORIGINAL,렌트,2025-03-19 17:21:58.000 +09,서울,,180허3990,0,0,0,0.0,0.0,0,0,,그랜저
9763,39056238,현대,싼타페 더 프라임,디젤 2.0 2WD,익스클루시브,201506.0,2016,1320.0,133177.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:47:05.000 +09,충남,국보자동차매매상사,45누7578,0,0,1,0.0,0.0,0,0,,싼타페
17112,39037455,제네시스,G80,3.3 GDI AWD,프리미엄 럭셔리,201906.0,2019,2450.0,31271.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:05:03.000 +09,인천,뉴정우모터스,320누5895,2,3,1,1085.3207,1208.7963,1,0,,제네시스
20842,39063341,현대,그랜저 IG 하이브리드,익스클루시브,스페셜,201806.0,2019,1790.0,162357.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 08:10:04.000 +09,경기,명문자동차,150오9678,4,5,5,420.082,437.1073,1,0,,그랜저
29040,39145001,현대,아반떼 AD,1.6 e-VGT 스마트,(세부등급 없음),201711.0,2018,850.0,67000.0,디젤,오토,ORIGINAL,일반,2025-03-20 12:52:02.000 +09,서울,,206노3645,1,0,2,48.73,0.0,1,0,,아반떼
28605,39266952,현대,아반떼 AD,1.6 GDI 모던,스페셜,201608.0,2017,1160.0,92181.0,가솔린,오토,ORIGINAL,일반,2025-03-20 13:30:37.000 +09,경기,주식회사 브로,55소0325,2,0,0,79.029,0.0,0,0,,아반떼
18516,39012978,제네시스,GV70,2.5T 가솔린 AWD,(세부등급 없음),202301.0,2023,4550.0,18126.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:55:03.000 +09,경기,풍년자동차,207가2678,0,0,2,0.0,0.0,0,0,,제네시스
750,39067431,현대,쏘나타 (DN8),1.6 터보,프리미엄 플러스,202108.0,2022,1910.0,73880.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:33:02.000 +09,부산,오토플러스(주),180조3628,1,0,2,0.0,0.0,1,0,,쏘나타
4899,38993554,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202309.0,2023,3150.0,33813.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 18:25:49.000 +09,광주,(주)삼흥모터스,183부7684,1,1,1,88.2759,75.4859,0,0,,투싼
20224,39207543,현대,더 뉴 그랜저 IG,2.5,르블랑,202203.0,2022,2810.0,67973.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:02:03.000 +09,서울,오토플러스(주),157하9154,0,0,0,0.0,0.0,0,0,,그랜저
25760,37324961,현대,그랜저 IG 하이브리드,익스클루시브,(세부등급 없음),201802.0,2018,1850.0,115401.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 11:56:20.000 +09,경기,(주)대기자동차,314나9389,1,0,5,55.087,0.0,1,0,,그랜저
26741,39243630,현대,아반떼 (CN7),1.6,모던,202211.0,2023,1970.0,22041.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:19:57.000 +09,경기,오토리카,117어7252,1,0,0,112.1642,0.0,0,0,,아반떼
19158,39204319,제네시스,GV80,3.5T 가솔린 AWD,(세부등급 없음),202009.0,2020,4100.0,141500.0,가솔린,오토,ORIGINAL,일반,2025-03-19 20:56:12.000 +09,서울,,167마7516,1,0,2,44.1469,0.0,1,0,,제네시스
670,38967785,현대,쏘나타 (DN8),2.0,인스퍼레이션,202212.0,2023,2260.0,33833.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:37:03.000 +09,경기,카메이트,263더8202,1,0,1,298.333,0.0,1,0,,쏘나타
5114,39254454,현대,투싼 (NX4),가솔린 1.6 터보 2WD,인스퍼레이션,202101.0,2021,2980.0,32508.0,가솔린,오토,ORIGINAL,일반,2025-03-19 16:01:21.000 +09,경기,(주)다모아모터스,292머3931,0,0,1,0.0,0.0,0,0,,투싼
2846,38978540,현대,쏘나타 (DN8),2.0,프리미엄,201906.0,2020,1850.0,58920.0,가솔린,오토,ORIGINAL,일반,2025-03-19 15:18:15.000 +09,광주,(주)송원모터스,10조5689,1,0,1,66.801,0.0,0,0,,쏘나타
17554,39160541,제네시스,GV70,2.5T 가솔린 AWD,(세부등급 없음),202407.0,2025,6440.0,6872.0,가솔린,오토,ORIGINAL,일반,2025-03-20 08:52:37.000 +09,경기,(주)셀렉트오토,137서1920,0,0,0,0.0,0.0,0,0,,제네시스
13984,39252238,현대,더 뉴 그랜드 스타렉스,4WD 어반 9인승,프리미엄 스페셜,201901.0,2019,1650.0,150872.0,디젤,오토,ORIGINAL,일반,2025-03-19 20:03:55.000 +09,경기,클린오토,36모5508,2,3,1,226.1331,279.6898,0,0,,스타렉스
12517,36806349,현대,더 뉴 그랜드 스타렉스,어반 9인승,프리미엄 스페셜,201801.0,2018,1799.0,139272.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:20:05.000 +09,경기,(주)더킹모터스,245구2362,0,1,2,0.0,25.324,1,0,,스타렉스
23119,38975717,현대,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),,201702.0,2017,1230.0,162424.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 23:20:03.000 +09,경기,나이스카,203고8113,3,2,5,216.2672,290.5246,2,0,,그랜저
18129,38855356,제네시스,GV70,2.2 디젤 AWD,(세부등급 없음),202112.0,2022,3690.0,92493.0,디젤,오토,ORIGINAL,일반,2025-03-20 05:18:12.000 +09,부산, 해동상사,100로1013,1,1,2,101.2539,0.0,0,0,,제네시스
8259,39101080,현대,스타리아,투어러 11인승,모던,202205.0,2022,2650.0,68113.0,디젤,오토,ORIGINAL,일반,2025-03-19 17:09:12.000 +09,경기,sk렌터카,738머1131,0,0,0,0.0,0.0,1,0,,스타리아
7944,38444539,현대,스타리아,카고 5인승,모던,202312.0,2024,3250.0,12967.0,디젤,오토,ORIGINAL,일반,2025-03-20 00:20:35.000 +09,경기,퍼스트다이렉트모터스,803더6392,1,0,1,0.0,0.0,0,0,,스타리아
20999,38886830,현대,그랜저 하이브리드 (GN7),프리미엄,,202310.0,2023,3890.0,1000.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 07:48:44.000 +09,서울,삼진자동차 ,207나2949,0,0,1,0.0,0.0,0,0,,그랜저
29960,39267086,현대,더 뉴 아반떼 AD,1.6,스마트 초이스,202002.0,2020,1190.0,94431.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:39:30.000 +09,경기,(주)바이더카,101소1619,2,1,0,247.979,119.227,0,0,,아반떼
24513,38489104,현대,그랜저 IG,3.0 익스클루시브,(세부등급 없음),201701.0,2017,1360.0,128173.0,가솔린,오토,ORIGINAL,일반,2025-03-19 20:02:38.000 +09,대구,오토파크,32더0153,1,2,4,650.03,135.4264,0,0,,그랜저
11849,38457290,현대,더 뉴 코나,가솔린 1.6 터보 2WD,모던,202010.0,2021,1420.0,137705.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:42:12.000 +09,충남,착한중고차,237라5428,2,2,1,191.6324,205.8141,1,0,,코나
29273,39073203,현대,아반떼 (CN7),1.6,인스퍼레이션,202004.0,2021,1720.0,96843.0,가솔린,오토,ORIGINAL,일반,2025-03-20 12:20:34.000 +09,대구,제일자동차상사,328가7310,4,2,1,367.807,206.872,0,0,,아반떼
17963,39171505,제네시스,GV60,스탠다드,(세부등급 없음),202204.0,2022,4980.0,36697.0,전기,오토,ORIGINAL,일반,2025-03-20 07:38:58.000 +09,부산,동인자동차,14너5844,0,1,1,0.0,116.781,0,0,,제네시스
2561,39229716,현대,쏘나타 (DN8),2.0,인스퍼레이션,201904.0,2020,1780.0,46077.0,가솔린,오토,ORIGINAL,일반,2025-03-19 17:20:41.000 +09,전북,유진모터스,304로2670,1,1,6,351.9397,62.2378,1,0,,쏘나타
20378,39237911,현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),프리미엄,202102.0,2021,1739.0,162803.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 08:59:44.000 +09,경기,신드롬모터스,108거7228,1,2,1,202.7144,144.6594,1,0,,그랜저
4257,39264548,현대,올 뉴 투싼,디젤 1.7 2WD,모던 피버,201604.0,2017,1400.0,73469.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:08:02.000 +09,서울,(주) 시원 모터스,62모0682,1,1,1,78.8,76.9338,0,0,,투싼
20069,39097841,제네시스,G80,3.3 GDI,럭셔리,201805.0,2018,1750.0,129800.0,가솔린,오토,ORIGINAL,일반,2025-03-19 13:58:03.000 +09,경남,범모터스,365노4203,1,6,2,60.6746,318.7014,1,0,,제네시스
6368,39148086,현대,팰리세이드,가솔린 3.8 4WD,VIP,202101.0,2021,3250.0,52697.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:36:03.000 +09,경기,(주)왕카,257모5536,2,2,1,566.0807,180.965,1,0,,팰리세이드
329,37816778,현대,쏘나타 (DN8),2.0 LPG(렌터카용),스마트,202007.0,2021,1270.0,128071.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 23:52:03.000 +09,대구,자동차명가,327로9106,1,2,1,79.624,106.9169,1,0,,쏘나타
