Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
38776112,현대,더 뉴 싼타페,HEV 1.6 2WD,프레스티지 초이스,202212.0,2023,3690.0,20922.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 09:20:05.000 +09,경기,케이엘모터스,192로4362,0,0,1,0.0,0.0,0,0,
39143613,현대,싼타페 TM,디젤 2.0 2WD,익스클루시브,201905.0,2020,2000.0,128335.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:05.000 +09,서울,(주)필운자동차,56저9844,0,0,1,0.0,0.0,0,0,
39118401,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,,201307.0,2014,930.0,132257.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:05.000 +09,서울,(주)조은오토,67무4435,2,2,1,223.593,432.494,0,0,
39132326,현대,더 뉴 싼타페,디젤 2.2 2WD,프레스티지,202012.0,2021,2350.0,73154.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:05.000 +09,인천,(주)타워모터스,267부2027,1,0,1,508.18,0.0,1,0,
38404805,현대,더 뉴 싼타페,HEV 1.6 2WD,프레스티지,202110.0,2021,3099.0,66366.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,충남,신세계자동차,196모8039,0,0,1,0.0,0.0,1,0,
38909560,현대,싼타페 더 프라임,디젤 2.0 2WD,익스클루시브,201510.0,2016,1020.0,169875.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,경기,(주)오토웨이,25소5356,1,1,3,117.94,3407.1695,0,0,
38957438,현대,더 뉴 싼타페,디젤 2.2 2WD,프레스티지,202209.0,2022,2599.0,69359.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,경기,(주)차톡,259부7504,1,0,1,138.0203,0.0,1,0,
38967354,현대,더 뉴 싼타페,가솔린 2.5T 2WD,프레스티지,202101.0,2021,2740.0,50592.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,경기,바바모터스,370버7732,1,0,1,42.156,0.0,1,0,
38905936,현대,싼타페 TM,디젤 2.0 2WD,익스클루시브,201911.0,2020,1670.0,186695.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,충남,(주)태양모터스,236어7246,0,0,3,0.0,0.0,1,0,
39075914,현대,싼타페 TM,디젤 2.0 2WD,프레스티지,202002.0,2020,2590.0,37173.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,충남,sb모터스,113로2765,1,0,1,76.3274,0.0,1,0,
38984596,현대,더 뉴 싼타페,가솔린 2.5T 2WD,프레스티지,202012.0,2021,2580.0,82599.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:20:04.000 +09,광주,신한길모터스,177모8183,0,1,3,0.0,42.8234,0,0,
