Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39114483,현대,쏘나타 (DN8),2.0,프리미엄 플러스,202208.0,2022,2070.0,46030.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:21:01.000 +09,서울,(주)오토플래닛,126하9347,0,0,0,0.0,0.0,0,0,
38978487,현대,쏘나타 (DN8),2.0 LPG(렌터카용),스타일,202208.0,2022,1450.0,64983.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:18:04.000 +09,서울,(주)오토플래닛,172하3611,0,0,0,0.0,0.0,0,0,
39180002,현대,쏘나타 하이브리드 (DN8),인스퍼레이션,,202205.0,2022,2120.0,66646.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 03:15:02.000 +09,서울,(주)오토플래닛,169하9123,0,0,0,0.0,0.0,0,0,
38989483,현대,쏘나타 (DN8),1.6 터보,인스퍼레이션,202301.0,2023,2599.0,37389.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:09:54.000 +09,경기,신드롬모터스,250나2074,2,1,2,96.11,41.0874,0,0,
38794794,현대,YF 쏘나타,LPI 프리미어,,200911.0,2010,220.0,211841.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:09:29.000 +09,경남,점보모터스,21두5984,10,7,8,1080.6637,571.9578,1,0,
39214692,현대,쏘나타 (DN8),2.0 LPG(렌터카용),스마트,202110.0,2022,1360.0,142320.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:09:15.000 +09,서울,(주)오토플래닛,126하2071,1,0,0,127.9596,0.0,0,0,
39016043,현대,쏘나타 (DN8),2.0 LPG,프리미엄,201912.0,2020,1829.0,78064.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:08:02.000 +09,서울,(주)하나모터스,350도9529,4,0,1,236.136,0.0,0,0,
37810741,현대,LF 쏘나타,2.0 스마트,(세부등급 없음),201405.0,2015,700.0,142410.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:07:14.000 +09,경남,정민모터스,46부1422,3,1,2,391.4253,288.1,0,0,
37895039,현대,쏘나타 뉴 라이즈,LPI 스타일,,201707.0,2018,950.0,111743.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:07:13.000 +09,경남,정민모터스,250다8194,3,0,2,449.1513,0.0,1,0,
39265748,현대,쏘나타 뉴 라이즈,LPI 택시형,고급형,202207.0,2022,1450.0,86051.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-20 03:05:34.000 +09,서울,아이원카,144더2403,3,0,1,332.5122,0.0,1,0,
