Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39276297,현대,아반떼 (CN7),2.0 N,,202205.0,2022,2490.0,16106.0,가솔린,수동,ORIGINAL,일반,2025-03-20 14:27:52.000 +09,대구,동대구자동차상사,322어3863,2,1,2,282.7069,136.4281,1,0,
39169400,현대,더 뉴 아반떼 (CN7),2.0 N,,202404.0,2024,3339.0,3381.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:51.000 +09,경기,(주)정모터스,215소9824,0,0,2,0.0,0.0,0,0,
39169377,현대,더 뉴 아반떼 (CN7),2.0 N,,202404.0,2024,3290.0,2579.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:51.000 +09,경기,(주)정모터스,215소9825,0,0,2,0.0,0.0,0,0,
39169352,현대,더 뉴 아반떼 (CN7),2.0 N,,202404.0,2024,3249.0,2610.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:51.000 +09,경기,(주)정모터스,215소9823,0,0,2,0.0,0.0,0,0,
39273472,현대,아반떼 MD,M16 GDI 스마트,,201209.0,2013,490.0,83312.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:37.000 +09,충북,(주)우리모터스,55너3365,0,0,2,0.0,0.0,0,0,
38987934,현대,아반떼 (CN7),1.6,모던,202006.0,2021,1920.0,18204.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:21.000 +09,경기,국제자동차매매상사,362루1760,0,1,1,0.0,82.576,0,0,
39266117,현대,더 뉴 아반떼 AD,1.6,스타일,201903.0,2019,1180.0,44248.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:16.000 +09,경기,(주)예스카,49나7966,3,0,0,254.743,0.0,0,0,
39220388,현대,더 뉴 아반떼 AD,1.6,스마트,201902.0,2019,1259.0,99125.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:14.000 +09,대구,소중한인연 M-ONE,240부8537,1,0,1,79.5506,0.0,1,0,
38309858,현대,아반떼 (CN7),1.6,인스퍼레이션,202006.0,2021,1790.0,67716.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:12.000 +09,서울,(주)비전 모터스,145서5267,2,0,2,270.2383,0.0,0,0,
39255428,현대,아반떼 AD,1.6 GDI 모던,(세부등급 없음),201610.0,2017,920.0,123846.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:27:12.000 +09,인천,오토플러스(주),69어0322,1,0,2,78.021,0.0,0,0,
