Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
38482157,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,(세부등급 없음),202107.0,2022,4070.0,52038.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:15.000 +09,부산,(주)진이오토,182도3204,2,1,0,695.4574,285.831,0,0,
38659136,제네시스,EQ900,3.3 T-GDI AWD,프레스티지,201601.0,2016,1950.0,227557.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:11.000 +09,대구,신우모터스,07라5619,5,2,4,680.1088,149.8091,1,0,
38586030,제네시스,G70,3.3T 스포츠 AWD,슈프림,201712.0,2018,2099.0,106279.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:11.000 +09,충남,드림모터스,09거2485,1,0,2,175.364,0.0,0,0,
39154260,제네시스,G80,3.8 GDI AWD,파이니스트,201607.0,2017,2480.0,101976.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:07.000 +09,경기,제이모션,28머0554,1,0,4,75.418,0.0,0,0,
38847888,제네시스,GV80,3.5T 가솔린 AWD,(세부등급 없음),202301.0,2023,6750.0,22662.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:11.000 +09,경기,주식회사 씨피오토모티브,231부1252,0,0,1,0.0,0.0,0,0,
38715274,제네시스,G70,2.0T,스포츠 패키지,201901.0,2019,1970.0,133566.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:11.000 +09,경기,경기모터스,07머4795,7,3,3,731.2342,932.6109,0,0,
39269392,제네시스,GV80,3.5T 가솔린 AWD,(세부등급 없음),202112.0,2022,4980.0,67110.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,서울,(주)오토플래닛,126하2750,0,0,0,0.0,0.0,0,0,
39144027,제네시스,G90 (RS4),가솔린 3.5 터보 AWD,(세부등급 없음),202207.0,2022,7980.0,22600.0,가솔린,오토,ORIGINAL,렌트,2025-03-20 09:48:02.000 +09,광주,,190호8299,0,0,0,0.0,0.0,0,0,
38290041,제네시스,G80,3.3 GDI,프리미엄 럭셔리,201707.0,2017,2399.0,60967.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,대구,다나자동차,08마1368,2,1,4,244.7552,527.8845,0,0,
37918858,제네시스,G70,3.3T 스포츠,프레스티지,201906.0,2019,2400.0,92421.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,서울,주식회사 케이아우토,185노2716,0,0,2,0.0,0.0,2,0,
37829086,제네시스,G80,3.3 GDI,럭셔리 스페셜,202001.0,2020,2240.0,114139.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,경기,스피드모터스,183고8837,0,0,1,0.0,0.0,1,0,
38017259,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,(세부등급 없음),202005.0,2021,4690.0,29268.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,서울,(주)뉴에버모터스,189주4338,1,0,2,209.587,0.0,1,0,
39260908,제네시스,G70,2.0T,엘리트,201909.0,2019,2490.0,92082.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,대구,SU모터스,255누9027,4,0,1,349.8209,0.0,0,0,
39254283,제네시스,GV80,3.0 디젤 AWD,,202012.0,2020,4299.0,113427.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,경기,(주)카르메스오토,349더9662,0,1,0,0.0,106.2901,0,0,
39252262,제네시스,GV60,스탠다드,(세부등급 없음),202210.0,2022,5120.0,44667.0,전기,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,경기,블루오토,01가1256,0,0,0,0.0,0.0,0,0,
39244214,제네시스,EQ900,5.0 GDI AWD 리무진,프레스티지,201608.0,2016,1920.0,189661.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,광주,로또자동차,66나0678,3,1,8,1029.71,330.608,0,0,
37396682,제네시스,G80,3.8 GDI AWD,프레스티지,201701.0,2017,1220.0,218115.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,인천,(주)카스갤러리,196두2362,3,4,3,1922.711,244.5125,1,0,0.0
38775738,제네시스,G70,2.0T AWD,엘리트,201911.0,2019,2590.0,77928.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,대구,M모터스,380러6802,2,0,0,202.4707,0.0,0,0,
38639243,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,(세부등급 없음),202101.0,2021,3850.0,70189.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,서울,153네트워크,302우7748,1,1,3,202.0847,69.9094,1,0,
38519630,제네시스,G80,3.3 GDI AWD,프리미엄 럭셔리,201710.0,2018,1898.0,73991.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:48:02.000 +09,대구,선우 모터스,02고3359,4,3,8,4793.2168,231.6622,0,0,
