Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
38882355,현대,코나,1.6 터보 4WD,모던,201905.0,2019,1340.0,92443.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:26.000 +09,대전,(주)뉴비카,251구2377,0,0,1,0.0,0.0,1,0,
35217483,현대,코나,1.6 터보 2WD,모던 팝,201807.0,2018,1590.0,45439.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:25.000 +09,울산,광휘모터스,209부1923,0,0,1,0.0,0.0,1,0,
38392562,현대,코나,1.6 터보 2WD,모던,201710.0,2018,1290.0,90960.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:24.000 +09,울산,광휘모터스,311서2587,1,1,3,95.238,86.7678,1,0,
35267829,현대,코나,1.6 터보 2WD,모던 팝,201709.0,2018,1490.0,66249.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:23.000 +09,울산,광휘모터스,21우7372,3,1,3,239.1488,37.6548,0,0,
39052675,현대,코나,디젤 1.6 2WD,스마트,201802.0,2018,950.0,115970.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:30:14.000 +09,인천,용일상사,34가4024,0,1,1,0.0,84.049,0,0,
39172513,현대,코나,1.6 터보 2WD,모던 아트,201711.0,2018,1600.0,36717.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:14.000 +09,충북,더원모터스,104누1028,2,1,6,412.1079,88.795,1,0,
39200221,현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,202303.0,2023,2780.0,18775.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:14.000 +09,서울,시원모터스,205루8379,0,0,0,0.0,0.0,0,0,
37954979,현대,코나,1.6 터보 4WD,아이언맨 에디션,201902.0,2019,1750.0,54845.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,제이원모터스,25주4736,2,1,2,161.5093,191.7,0,0,
38463426,현대,더 뉴 코나,가솔린 2.0 2WD,2.0 N,202211.0,2023,2620.0,38523.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,(주)오토피아,139우6324,2,1,1,598.1431,173.516,0,0,
38664678,현대,더 뉴 코나 하이브리드,인스퍼레이션,,202011.0,2021,2400.0,82927.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,(주)오토피아,339구9415,1,0,1,28.0779,0.0,0,0,
39007123,현대,더 뉴 코나,가솔린 2.0 2WD,2.0 N,202111.0,2022,2730.0,65217.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,(주)오토피아,139수9894,0,0,0,0.0,0.0,0,0,
39219985,현대,코나 하이브리드,프리미엄 스페셜,,201911.0,2020,2000.0,71586.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,서울,(주) 비전모터스,114러5301,1,0,0,146.1374,0.0,0,0,
38827648,현대,더 뉴 코나,가솔린 2.0 2WD,2.0 N,202108.0,2022,2590.0,51927.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,(주)오토피아,258머9577,3,1,1,189.6283,68.5232,0,0,
38674095,현대,더 뉴 코나,가솔린 2.0 2WD,2.0 N,202206.0,2023,2820.0,36568.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:07.000 +09,경기,(주)오토피아,177버8642,1,0,1,63.5069,0.0,0,0,
39177865,현대,코나,디젤 1.6 2WD,모던,201709.0,2018,1119.0,78666.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:30:05.000 +09,서울,(주)구루마,50가7251,3,0,4,480.2455,0.0,0,0,
39245439,현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,202501.0,2025,2530.0,85.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:30:05.000 +09,경기,㈜오토핸즈,245도5738,0,0,1,0.0,0.0,0,0,
39198572,현대,코나,디젤 1.6 2WD,모던 초이스,202004.0,2020,1219.0,139106.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,충남,비케이모터스,360가5762,0,0,1,0.0,0.0,1,0,
39109943,현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,202403.0,2024,2850.0,13263.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,인천,뉴AK모터스자동차매매상사,161누2731,0,0,1,0.0,0.0,0,0,
38656435,현대,코나,디젤 1.6 4WD,프리미엄,202005.0,2020,1390.0,99887.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,부산,미르모터스,385머3131,4,4,2,873.7668,500.938,0,0,
37964468,현대,더 뉴 코나 하이브리드,모던,,202012.0,2021,1350.0,110107.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,경남,승리모터스(주식),176구8771,3,3,1,692.3831,951.5266,0,0,
38973166,현대,더 뉴 코나 하이브리드,인스퍼레이션,,202112.0,2022,2420.0,39715.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,경기,KL모터스,131누1073,0,0,2,0.0,0.0,0,0,
39191212,현대,코나,1.6 터보 2WD,모던 아트,201904.0,2019,1890.0,46938.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,광주,대오모터스,47어5747,1,1,0,55.2145,30.706,0,0,
39127151,현대,코나,1.6 터보 2WD,모던 초이스,202001.0,2020,1449.0,105731.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:29:03.000 +09,충남,CAR유모터스,284더6435,3,0,1,377.7067,0.0,0,0,
38968347,현대,더 뉴 코나 하이브리드,인스퍼레이션,,202112.0,2022,2230.0,38118.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,인천,주안인증중고차,267버6138,3,1,1,586.1923,46.029,0,0,
39065552,현대,코나,디젤 1.6 4WD,프리미엄,202009.0,2020,1450.0,107611.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:11.000 +09,전북,원모터스,341모7974,6,3,0,1676.5878,631.854,1,0,
38426320,현대,코나,디젤 1.6 2WD,모던 초이스,202006.0,2020,1190.0,120715.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:28:02.000 +09,인천,유원모터스,311로4287,0,0,2,0.0,0.0,1,0,
38967909,현대,코나,1.6 터보 2WD,모던 아트,201712.0,2018,1390.0,59528.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:28:02.000 +09,대구,필카,01마2762,4,0,0,484.3439,0.0,0,0,
38546824,현대,코나,디젤 1.6 4WD,모던 초이스,201910.0,2020,1490.0,60692.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:27:55.000 +09,경기,다온자동차,385나4584,1,0,3,56.2114,0.0,1,0,
38392937,현대,코나,1.6 터보 2WD,프리미엄,202001.0,2020,2130.0,20320.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:27:11.000 +09,광주,대오모터스,338오5469,1,1,0,72.1491,38.1559,0,0,
