Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
39081717,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202202.0,2022,3610.0,59445.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 03:41:01.000 +09,서울,(주)오토플래닛,197호6098,1,0,0,157.875,0.0,0,0,
38167002,현대,뉴 투싼 ix,디젤(e-VGT) 4WD,모던,201306.0,2014,780.0,49720.0,디젤,오토,ORIGINAL,일반,2025-03-20 03:39:02.000 +09,경기,열정모터스,56라5560,3,3,3,166.2446,877.9817,0,0,
39204535,현대,투싼 (NX4),디젤 2.0 2WD,프리미엄,202305.0,2023,2640.0,41895.0,디젤,오토,ORIGINAL,일반,2025-03-20 03:36:01.000 +09,서울,(주)오토플래닛,221하1433,0,0,0,0.0,0.0,0,0,
39170077,현대,투싼 (NX4),가솔린 1.6 터보 2WD,인스퍼레이션,202303.0,2023,2990.0,18371.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:30:03.000 +09,서울,한길U.C.S,175수3358,1,0,1,52.991,0.0,0,0,
39179722,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202302.0,2023,3360.0,23232.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 03:30:03.000 +09,서울,한길U.C.S,324무1371,0,0,0,0.0,0.0,0,0,
38331970,현대,올 뉴 투싼,가솔린 1.6 터보 2WD,모던,201611.0,2017,1350.0,130825.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:22:02.000 +09,경기,양주케이모터스,39고0136,1,1,1,32.9468,47.941,0,0,
38585745,현대,투싼 (NX4),가솔린 1.6 터보 2WD,인스퍼레이션,202304.0,2023,2960.0,54166.0,가솔린,오토,ORIGINAL,일반,2025-03-20 03:10:48.000 +09,충북,명성상사,224머4823,2,0,0,48.8319,0.0,0,0,
39009733,현대,올 뉴 투싼,디젤 2.0 4WD,익스트림 에디션,201712.0,2018,1499.0,138371.0,디젤,오토,ORIGINAL,일반,2025-03-20 03:01:11.000 +09,경기,코리아모터스,06다4518,1,1,1,27.7616,50.1859,0,0,
37247115,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202307.0,2023,3190.0,6845.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 03:00:05.000 +09,인천,굿카대표,203모5666,1,0,1,0.0,0.0,0,0,
39201215,현대,올 뉴 투싼,디젤 2.0 2WD,스타일 스페셜,201603.0,2017,1230.0,83565.0,디젤,오토,ORIGINAL,일반,2025-03-20 03:00:05.000 +09,인천,굿카대표 모터스,58로0737,0,1,2,0.0,262.157,0,0,
39139302,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202112.0,2022,3049.0,40807.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 03:00:05.000 +09,서울,주)산다모터스,176저4670,0,0,1,0.0,0.0,0,0,
38966421,현대,올 뉴 투싼,디젤 2.0 4WD,프리미엄,201902.0,2019,1750.0,147455.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:40:02.000 +09,경기,코리아모터스,165더9720,0,0,2,0.0,0.0,1,0,
38742444,현대,올 뉴 투싼,디젤 2.0 2WD,모던,202006.0,2020,1649.0,74238.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:38:44.000 +09,광주,센텀모터스,381모2247,2,0,0,240.6488,0.0,0,0,
39101388,현대,올 뉴 투싼,가솔린 1.6 터보 2WD,모던,202001.0,2020,1580.0,99612.0,가솔린,오토,ORIGINAL,일반,2025-03-20 02:28:01.000 +09,대구,오토핸즈 대구직영점,150하8113,0,1,0,0.0,36.6964,0,0,
39200615,현대,올 뉴 투싼,디젤 2.0 2WD,모던,202001.0,2020,1770.0,71726.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:28:01.000 +09,대구,오토핸즈 대구직영점,158두3157,1,3,1,59.0636,238.0193,0,0,
38909614,현대,투싼 (NX4),가솔린 1.6 터보 2WD,인스퍼레이션,202204.0,2022,2490.0,37420.0,가솔린,오토,ORIGINAL,일반,2025-03-20 02:28:01.000 +09,대구,오토핸즈 대구직영점,319머6440,2,0,1,539.8267,0.0,1,0,
39225299,현대,투싼 (NX4),가솔린 1.6 터보 2WD,프리미엄,202108.0,2021,2570.0,31835.0,가솔린,오토,ORIGINAL,일반,2025-03-20 02:28:01.000 +09,대구,오토핸즈 대구직영점,247오7013,0,0,1,0.0,0.0,0,0,
39089857,현대,더 뉴 투싼 하이브리드 (NX4),HEV 1.6 2WD,인스퍼레이션,202412.0,2024,4090.0,1142.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 02:28:00.000 +09,대구,오토핸즈 대구직영점,229더4128,0,0,1,0.0,0.0,0,0,
39244143,현대,올 뉴 투싼,디젤 2.0 2WD,모던,201903.0,2019,2020.0,25353.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:28:00.000 +09,대구,오토핸즈 대구직영점,63고8428,1,1,1,84.2583,100.28,0,0,
38969354,현대,투싼 (NX4),디젤 2.0 2WD,프리미엄,202101.0,2021,1690.0,196061.0,디젤,오토,ORIGINAL,일반,2025-03-20 02:27:59.000 +09,대구,오토핸즈 대구직영점,238저7007,0,0,2,0.0,0.0,1,0,
38452749,현대,올 뉴 투싼,가솔린 1.6 터보 2WD,모던,201701.0,2017,1590.0,72772.0,가솔린,오토,ORIGINAL,일반,2025-03-20 02:21:03.000 +09,서울,오토리안,01가9629,0,2,3,0.0,134.829,0,0,
39161417,현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,202303.0,2023,9999.0,18843.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 02:09:53.000 +09,경기,(주)하나오토,304모6347,0,0,0,0.0,0.0,0,0,
