Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수
38445177,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,201903.0,2019,3000.0,38240.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:15:03.000 +09,충남,주식회사 오토월드,146다4230,0,0,2,0.0,0.0,1,0,
38969808,현대,더 뉴 팰리세이드,가솔린 3.8 2WD,캘리그래피,202301.0,2023,3399.0,14122.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:15:03.000 +09,경북,제일상사,242라1254,1,3,1,1821.8,798.562,1,0,
39259010,현대,더 뉴 팰리세이드,디젤 2.2 4WD,캘리그래피,202302.0,2023,9999.0,18365.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:15:03.000 +09,서울,(주)오토플래닛,180허8727,0,0,0,0.0,0.0,0,0,
39061938,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,202302.0,2023,4119.0,23481.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:35.000 +09,대구,KS모터스,152라5463,1,1,0,214.627,345.4278,0,0,
39231520,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,201902.0,2019,2549.0,114520.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:35.000 +09,대구,KS모터스,52머2541,2,1,0,81.0808,59.112,0,0,
39040189,현대,팰리세이드,디젤 2.2 4WD,프레스티지,202002.0,2020,2990.0,94064.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:24.000 +09,부산,(주)라임모터스,361서8227,1,0,1,78.25,0.0,0,0,
39118951,현대,더 뉴 팰리세이드,디젤 2.2 2WD,캘리그래피,202212.0,2023,4430.0,22976.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:23.000 +09,부산,(주)라임모터스,306나5335,0,0,0,0.0,0.0,0,0,
38975076,현대,팰리세이드,디젤 2.2 2WD,캘리그래피,202006.0,2021,2830.0,148997.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:23.000 +09,부산,(주)라임모터스,330가9749,0,1,0,0.0,94.178,0,0,
39089509,현대,팰리세이드,디젤 2.2 4WD,프레스티지,202203.0,2022,3580.0,83314.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:08.000 +09,경기,(주)왕카,251마5183,1,0,1,59.463,0.0,1,0,
39235475,현대,팰리세이드 (LX3),가솔린 2.5T 2WD 7인승,익스클루시브,202502.0,2025,4600.0,250.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:08.000 +09,충남,하이모터스,126나2986,0,0,0,0.0,0.0,0,0,
39208818,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,202303.0,2023,3700.0,85479.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:08.000 +09,경기,오토플러스(주),174하5663,0,0,0,0.0,0.0,0,0,
39071277,현대,더 뉴 팰리세이드,디젤 2.2 2WD,익스클루시브,202210.0,2023,2899.0,115014.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:05.000 +09,충남,착한중고차,362어3899,1,0,1,61.9,0.0,0,0,
39111098,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202107.0,2022,2699.0,134484.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:04.000 +09,충남,착한중고차,380거8050,0,0,1,0.0,0.0,0,0,
39032863,현대,팰리세이드,디젤 2.2 4WD,익스클루시브,201901.0,2019,2800.0,89337.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:02.000 +09,경기,에이투지네트웍스,07도6676,0,0,1,0.0,0.0,0,0,
38999895,현대,팰리세이드,가솔린 3.8 2WD,익스클루시브,202110.0,2022,2700.0,51768.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:02.000 +09,경남,한우카,370수9699,1,0,1,188.7454,0.0,0,0,
38562746,현대,팰리세이드,가솔린 3.8 4WD,캘리그래피,202012.0,2021,3170.0,38431.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:14:02.000 +09,인천,의리차차차,303나2884,0,0,0,0.0,0.0,0,0,
38455662,현대,팰리세이드,디젤 2.2 2WD,익스클루시브,202001.0,2020,2569.0,45478.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:02.000 +09,대전,제이더블유,170무6424,1,1,0,1184.21,937.2964,0,0,
39245904,현대,팰리세이드,디젤 2.2 4WD,캘리그래피,202012.0,2021,3610.0,90108.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:14:02.000 +09,경기,(주)왕카,398더9661,5,4,0,799.606,203.22,0,0,
38341764,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,201908.0,2019,3140.0,34153.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:37.000 +09,경남,미소중고차,331너5209,0,0,1,0.0,0.0,1,0,
39215156,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202108.0,2022,2820.0,117315.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:24.000 +09,부산,(주)오영모터스,220소1789,0,1,1,0.0,84.7,1,0,
38982873,현대,팰리세이드,디젤 2.2 4WD,프레스티지,201907.0,2019,3150.0,99607.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:12.000 +09,대전,(주)안모터스,34저0746,1,1,1,118.51,218.2751,0,0,
38966732,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,202112.0,2022,2750.0,67566.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:12.000 +09,충북,푸름자동차,168우9474,1,1,1,36.0729,11.214,0,0,
39232896,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,202106.0,2022,2960.0,26948.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:12.000 +09,경기,수성자동차,356도7135,1,1,1,80.9178,480.07,0,0,
38552681,현대,팰리세이드,디젤 2.2 2WD,익스클루시브,201912.0,2020,2850.0,71759.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:12.000 +09,서울,주식회사 팀모터스,143고2491,1,1,3,132.0531,133.2476,0,0,
39180023,현대,팰리세이드,가솔린 3.8 4WD,캘리그래피,202112.0,2022,3385.0,55843.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,서울,(주)오토플래닛,143호1504,0,2,0,0.0,89.4208,0,0,
39245507,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202008.0,2021,3630.0,28304.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,전북,(주)유카 전주지점,146나7834,0,0,0,0.0,0.0,0,0,
38117966,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,202006.0,2021,3650.0,28360.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,경기,Feel Car,160조1957,0,0,0,0.0,0.0,0,0,
38482345,현대,더 뉴 팰리세이드,디젤 2.2 2WD,캘리그래피,202210.0,2023,4250.0,39420.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,경기,(주)더킹모터스,349서5869,0,0,1,0.0,0.0,0,0,
39068197,현대,더 뉴 팰리세이드,가솔린 3.8 2WD,프레스티지,202206.0,2023,3230.0,64108.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,경기,(주)왕카,396무5472,0,0,2,0.0,0.0,1,0,
39072738,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,202304.0,2023,4150.0,34087.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,부산,서원모터스,240노5367,1,0,0,202.0351,0.0,0,0,
38640139,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,201904.0,2019,2520.0,79223.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,서울,드림카,206러4528,0,0,2,0.0,0.0,1,0,
39250640,현대,팰리세이드,디젤 2.2 4WD,캘리그래피,202012.0,2021,3450.0,103161.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,경기,카모아,115나1304,0,1,0,0.0,68.88,0,0,
38083094,현대,더 뉴 팰리세이드,디젤 2.2 4WD,프레스티지,202304.0,2023,3330.0,57000.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:42.000 +09,대구,대박상사,264소5778,1,2,0,0.0,0.0,0,0,
38477621,현대,팰리세이드,디젤 2.2 4WD,캘리그래피,202102.0,2021,4999.0,53600.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:41.000 +09,대구,대박상사,159하9191,0,0,0,0.0,0.0,0,0,
38865795,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202005.0,2020,3090.0,70349.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:23.000 +09,대구,오토마트,171러6297,1,0,1,161.759,0.0,0,0,
38604091,현대,팰리세이드,디젤 2.2 2WD,익스클루시브,202010.0,2021,2390.0,102471.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:13.000 +09,인천,오토팰리스,239어3113,2,0,2,104.2319,0.0,1,0,
38380727,현대,팰리세이드,디젤 2.2 2WD,프레스티지,201905.0,2019,2990.0,66583.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:13.000 +09,충남,동네사람들,27나4771,0,0,1,0.0,0.0,0,0,
36226278,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,202202.0,2022,3090.0,85726.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:13.000 +09,대구,뉴현대모터스,174오1360,2,0,1,71.5206,0.0,1,0,
38974589,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,202302.0,2023,4250.0,37282.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:13.000 +09,경기,차여사,108너1175,0,0,0,0.0,0.0,0,0,
38845624,현대,팰리세이드,가솔린 3.8 2WD,VIP,202306.0,2023,4399.0,43000.0,가솔린,오토,ORIGINAL,리스,2025-03-20 09:12:13.000 +09,서울,,354보1179,0,0,0,0.0,0.0,0,0,
38735111,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202102.0,2021,3090.0,58843.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:13.000 +09,경기,주식회사 오토엠,317고8706,2,1,1,569.8921,136.3289,0,0,
39258569,현대,팰리세이드,디젤 2.2 2WD,익스클루시브,201901.0,2019,2880.0,51232.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:11.000 +09,경남,중고차는 정대리,04고8034,3,1,0,134.8918,211.046,0,0,
38693907,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202102.0,2021,2830.0,80658.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,대구,(주)카고고,102오8771,4,0,1,1019.4743,0.0,1,0,
39253497,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202105.0,2022,4150.0,27353.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,전북,(주)유카 전주지점,346가2406,0,0,1,0.0,0.0,0,0,
39228778,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,202005.0,2020,2520.0,47970.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,서울,주)조은오토,157서4221,2,0,1,304.307,0.0,0,0,
38390555,현대,팰리세이드,가솔린 3.8 2WD,프레스티지,202012.0,2021,2750.0,7131.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,전북,(주)유카,333수3997,0,0,0,0.0,0.0,0,0,
38443038,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202107.0,2022,3350.0,58475.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,대전,형채와자동차,279도7921,1,2,1,46.7294,196.7617,0,0,
38465591,현대,더 뉴 팰리세이드,가솔린 3.8 2WD,캘리그래피,202309.0,2023,4100.0,6247.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,인천,뉴AK모터스,245무6233,1,1,1,68.0889,1041.7801,0,0,
38845194,현대,팰리세이드,가솔린 3.8 2WD,VIP,202202.0,2022,3990.0,18815.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,경기,월드모터스,349서1761,0,0,2,0.0,0.0,0,0,
38204023,현대,팰리세이드,디젤 2.2 2WD,프레스티지,202106.0,2022,4270.0,35884.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,경기,Feel Car,338저8431,0,0,0,0.0,0.0,0,0,
39095226,현대,팰리세이드,가솔린 3.8 2WD,익스클루시브,202006.0,2021,2690.0,25071.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,서울,(주)에스유즈드카,179소3305,0,0,1,0.0,0.0,0,0,
39088801,현대,팰리세이드,디젤 2.2 2WD,VIP,202103.0,2021,3200.0,134639.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:12:03.000 +09,경기,스카이모터스,176우2287,0,1,0,0.0,39.9588,0,0,
