Id,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류,시리즈_명
20163952,15,351,97,201006.0,2010,600.0,146000.0,3,2,0,2,2021-01-06 16:15:53+09:00,9,1030,20우7257,6,3,5,638.4677,356.8538,0,0,0.0,쏘나타,5.0
37996922,11,89,74,201507.0,2015,860.0,81800.0,3,2,0,2,2024-08-14 18:27:07+09:00,6,1645,11수3791,3,0,6,839.8948,0.0,0,0,0.0,쏘나타,5.0
38560288,60,89,23,201707.0,2018,1290.0,47000.0,3,2,0,2,2024-11-18 17:20:49+09:00,1,1907,54나3037,1,0,4,588.352,0.0,0,0,0.0,쏘나타,5.0
38319252,77,391,95,201911.0,2020,1810.0,54435.0,7,2,0,2,2024-11-28 23:06:47+09:00,1,2058,245부2668,1,1,2,377.602,305.0,0,0,0.0,투싼,4.0
38738334,40,4,65,202003.0,2020,1530.0,21574.0,3,2,0,2,2024-12-18 18:08:11+09:00,11,1399,302고2213,0,1,1,0.0,93.0949,0,0,0.0,아반떼,2.0
38771519,19,272,23,201607.0,2016,990.0,104013.0,1,2,0,2,2025-01-07 11:18:53+09:00,11,1400,14도0653,2,2,2,233.277,144.1883,0,0,0.0,그랜저,8.0
38455109,50,459,41,202106.0,2022,2920.0,27037.0,7,2,0,2,2025-01-07 11:18:53+09:00,11,1400,90어7420,0,0,1,0.0,0.0,0,0,0.0,스타리아,6.0
38371549,18,118,90,202302.0,2023,3420.0,33220.0,3,2,0,2,2025-01-08 08:58:56+09:00,12,2382,142노2794,0,1,2,0.0,30.6639,0,0,0.0,그랜저,8.0
38818655,50,460,41,202306.0,2023,2940.0,17608.0,7,2,0,2,2025-01-10 14:42:27+09:00,7,1114,803루5248,0,0,0,0.0,0.0,0,0,0.0,스타리아,6.0
37858586,71,321,23,201101.0,2011,500.0,118010.0,3,2,0,2,2025-01-12 13:56:49+09:00,1,1732,40마5319,5,1,3,326.9079,221.511,1,0,0.0,아반떼,2.0
38869324,87,353,111,202101.0,2021,2360.0,88461.0,3,2,0,2,2025-01-13 10:35:35+09:00,11,1400,276무6285,0,0,1,0.0,0.0,0,0,0.0,투싼,4.0
38903538,57,70,117,202110.0,2022,2080.0,50220.0,3,2,0,2,2025-01-20 10:38:06+09:00,4,574,292주5862,0,0,2,0.0,0.0,1,0,0.0,쏘나타,5.0
38911340,34,452,62,201908.0,2019,2030.0,30078.0,7,2,0,2,2025-01-20 11:00:59+09:00,2,1788,713머7325,0,1,1,0.0,60.305,1,0,0.0,스타렉스,1.0
38912131,34,435,69,201811.0,2019,1370.0,102574.0,7,2,0,2,2025-01-20 12:19:21+09:00,1,2350,86고1212,1,3,0,49.8,284.4806,0,0,0.0,스타렉스,1.0
38915958,55,391,91,201903.0,2019,1690.0,222944.0,7,2,0,2,2025-01-20 17:51:09+09:00,1,653,46보6084,1,0,1,95.1145,0.0,0,0,0.0,싼타페,7.0
38582247,49,213,14,200605.0,2006,230.0,190000.0,7,2,0,2,2025-01-22 10:43:15+09:00,2,3146,90소8548,3,2,1,245.1656,50.405,0,0,0.0,스타렉스,1.0
38930465,69,6,23,201801.0,2018,870.0,101802.0,3,2,0,2,2025-01-22 13:28:56+09:00,6,1645,06우5030,3,4,2,473.3735,483.9538,0,0,0.0,아반떼,2.0
38933211,46,379,106,202207.0,2023,3800.0,65000.0,3,2,0,2,2025-01-22 17:01:21+09:00,15,1030,148라6312,0,0,0,0.0,0.0,0,0,0.0,팰리세이드,9.0
38528229,11,312,23,201412.0,2015,1010.0,108854.0,1,2,0,2,2025-01-23 15:07:38+09:00,1,1375,57두7358,2,0,3,144.409,0.0,0,0,0.0,쏘나타,5.0
38943008,18,118,98,202305.0,2023,3120.0,47302.0,3,2,0,0,2025-01-23 19:37:04+09:00,15,1030,174하6214,0,0,0,0.0,0.0,0,0,0.0,그랜저,8.0
38938133,40,18,66,201901.0,2019,949.0,132269.0,1,2,0,2,2025-01-23 22:43:50+09:00,1,3455,242루5910,2,0,1,100.9255,0.0,1,0,0.0,아반떼,2.0
38943306,19,270,23,201105.0,2011,370.0,297000.0,1,2,0,2,2025-01-24 01:43:07+09:00,1,1030,65서0412,4,4,5,344.5634,112.48,1,0,0.0,그랜저,8.0
38948346,51,189,28,200408.0,2004,230.0,162313.0,7,2,0,2,2025-01-24 15:28:28+09:00,7,1030,65조4748,2,5,4,235.802,534.4453,0,0,0.0,싼타페,7.0
38829301,35,116,90,202004.0,2020,2850.0,36515.0,3,2,0,2,2025-01-24 15:35:09+09:00,1,3471,161구4758,2,0,0,135.7809,0.0,0,0,0.0,그랜저,8.0
38822494,34,462,23,202003.0,2020,3100.0,59119.0,7,2,0,2,2025-01-24 15:40:50+09:00,2,2734,99부7951,0,0,1,0.0,0.0,1,0,0.0,스타렉스,1.0
38783798,16,462,23,201101.0,2011,1790.0,116842.0,7,2,0,2,2025-01-24 15:40:50+09:00,2,2734,72모2749,0,0,7,0.0,0.0,0,0,0.0,스타렉스,1.0
38477465,34,384,23,202011.0,2021,2390.0,51498.0,7,2,0,2,2025-01-24 15:40:51+09:00,2,2734,96더5129,0,0,1,0.0,0.0,0,0,0.0,스타렉스,1.0
38349674,35,139,90,202010.0,2020,3290.0,31145.0,1,2,0,2,2025-01-24 15:40:51+09:00,2,2734,110어3121,1,0,0,88.0,0.0,0,0,0.0,그랜저,8.0
38951453,34,199,23,202011.0,2021,4125.0,25000.0,7,2,0,2,2025-01-25 00:25:28+09:00,5,1030,79오2529,0,0,2,0.0,0.0,0,0,0.0,스타렉스,1.0
38952561,70,29,30,201003.0,2010,330.0,186955.0,3,2,0,2,2025-01-25 15:22:02+09:00,2,1824,47러2814,3,1,1,211.4457,70.0,0,0,0.0,아반떼,2.0
37852430,47,296,23,201011.0,2011,500.0,171065.0,1,2,0,2,2025-01-26 12:07:17+09:00,16,3331,250고2449,2,5,2,151.121,482.0936,1,0,0.0,그랜저,8.0
36728295,75,430,23,202101.0,2021,1995.0,36500.0,6,2,0,2,2025-01-26 16:37:29+09:00,3,2110,359마7366,0,0,1,0.0,0.0,1,0,0.0,아반떼,2.0
38954133,19,250,23,201405.0,2014,700.0,160000.0,3,2,0,2,2025-01-27 15:43:31+09:00,4,1030,12라9283,1,0,6,64.59,0.0,0,0,0.0,그랜저,8.0
38954675,12,78,114,201507.0,2016,1520.0,49000.0,6,2,0,2,2025-01-28 14:23:03+09:00,12,1030,11무3206,0,0,2,0.0,0.0,0,0,0.0,쏘나타,5.0
38593810,80,40,44,201710.0,2018,1299.0,82373.0,3,2,0,2,2025-01-29 22:03:00+09:00,1,3455,54구5029,3,3,1,444.4176,154.4136,0,0,0.0,코나,3.0
38955658,77,390,41,201504.0,2016,1080.0,102584.0,7,2,0,2,2025-01-30 13:10:13+09:00,10,1596,55저5588,1,0,4,0.0,0.0,0,0,0.0,투싼,4.0
38600465,21,143,23,201711.0,2018,1490.0,116546.0,1,2,0,2,2025-01-30 14:45:12+09:00,2,1135,107도7946,2,0,4,185.962,0.0,1,0,0.0,그랜저,8.0
38956062,19,269,23,201401.0,2014,420.0,350000.0,1,2,0,2,2025-01-31 01:58:17+09:00,2,1030,183마7438,1,3,2,131.3567,259.8179,1,0,0.0,그랜저,8.0
37429206,26,461,23,202311.0,2023,3680.0,4600.0,6,2,0,0,2025-01-31 09:02:13+09:00,13,1030,171하3211,2,0,0,473.188,0.0,0,0,0.0,그랜저,8.0
